sentence,type,object number,formatted sentence,selected option,time,is_match
add item,camelCase,10,addItem,addItem,2.641,True
calculate sum,camelCase,10,calculateSum,calculateSun,2.093,False
find user,camelCase,10,findUser,findUser,2.194,True
send email,camelCase,10,sendEmail,sendEmail,1.777,True
calculate sum,kebab,10,calculate-sum,calculate-sun,1.955,False
find user,kebab,10,find-user,find-user,3.662,True
find user,camelCase,10,findUser,fineUser,1.275,False
create account,camelCase,10,createAccount,createAccount,2.444,True
update record,kebab,10,update-record,update-record,2.956,True
delete user,kebab,10,delete-user,delete-user,2.196,True
load file,kebab,10,load-file,loud-file,1.990,False
delete user,camelCase,10,deleteUser,deleteUser,1.585,True
search item,camelCase,10,searchItem,searchItem,3.315,True
delete user,kebab,10,delete-user,delete-user,3.182,True
load file,kebab,10,load-file,load-file,2.409,True
add item,kebab,11,add-item,add-item,2.077,True
load file,camelCase,11,loadFile,leadFile,1.182,False
send email,kebab,11,send-email,send-emil,1.121,False
update record,camelCase,11,updateRecord,updateRecord,2.168,True
play video,camelCase,11,playVideo,playVideo,2.379,True
search item,kebab,11,search-item,search-item,1.859,True
play video,kebab,11,play-video,play-video,2.064,True
add item,camelCase,11,addItem,addItem,2.627,True
calculate sum,camelCase,11,calculateSum,calculateSum,1.673,True
find user,camelCase,11,findUser,fineUser,1.591,False
send email,camelCase,11,sendEmail,sendEmail,2.421,True
calculate sum,kebab,11,calculate-sum,calculate-sum,2.347,True
find user,kebab,11,find-user,find-user,1.721,True
find user,camelCase,11,findUser,findUser,1.941,True
create account,camelCase,11,createAccount,createAccount,2.155,True
update record,kebab,11,update-record,update-record,4.602,True
delete user,kebab,11,delete-user,delete-user,2.407,True
load file,kebab,11,load-file,load-file,2.160,True
delete user,camelCase,11,deleteUser,deleteUse,1.748,False
search item,camelCase,11,searchItem,searchItem,1.952,True
delete user,kebab,11,delete-user,delete-user,2.390,True
load file,kebab,11,load-file,load-file,2.083,True
add item,kebab,12,add-item,add-item,4.033,True
load file,camelCase,12,loadFile,loudFile,2.160,False
send email,kebab,12,send-email,send-email,1.889,True
update record,camelCase,12,updateRecord,updateRecord,4.753,True
play video,camelCase,12,playVideo,playVideo,3.209,True
search item,kebab,12,search-item,search-item,2.599,True
play video,kebab,12,play-video,play-video,2.129,True
